Nord,Nord,81.7166,-17.8000,Greenland,GL,GRL,Sermersooq,,10,1304217709,921
Longyearbyen,Longyearbyen,78.2167,15.6333,Svalbard,XR,XSV,,primary,,1930654114,1310
Qaanaaq,Qaanaaq,77.4670,-69.2330,Greenland,GL,GRL,Qaasuitsup,,1634,1304094556,1394
Savissivik,Savissivik,76.0195,-65.1125,Greenland,GL,GRL,Qaasuitsup,,66,1304246272,1555
Zemlya Bunge,Zemlya Bunge,74.8983,142.1050,Russia,RU,RUS,Sakha (Yakutiya),,10,1643720805,1679
Kullorsuaq,Kullorsuaq,74.5781,-57.2250,Greenland,GL,GRL,Qaasuitsup,,450,1304004889,1715
Kraulshavn,Kraulshavn,74.1210,-57.0674,Greenland,GL,GRL,Qaasuitsup,,204,1304966853,1766
Nordvik,Nordvik,74.0165,111.5100,Russia,RU,RUS,Krasnoyarskiy Kray,,0,1643587468,1777
Dikson,Dikson,73.5000,80.5170,Russia,RU,RUS,Krasnoyarskiy Kray,,548,1643554430,1835
Khorgo,Khorgo,73.4833,113.6300,Russia,RU,RUS,Sakha (Yakutiya),,10,1643550363,1837
Sagastyr,Sagastyr,73.3779,126.5924,Russia,RU,RUS,Sakha (Yakutiya),,10,1643535665,1848
Tasiusaq,Tasiusaq,73.3690,-56.0598,Greenland,GL,GRL,Qaasuitsup,,250,1304103267,1849
Matochkin Shar,Matochkin Shar,73.2700,56.4497,Russia,RU,RUS,Arkhangel’skaya Oblast’,,10,1643843865,1860
Saskylakh,Saskylakh,71.9653,114.0923,Russia,RU,RUS,Sakha (Yakutiya),,2317,1643818493,2005
Upernavik,Upernavik,72.7839,-56.1506,Greenland,GL,GRL,Qaasuitsup,,1218,1304750851,1914
Ust’-Olenëk,Ust'-Olenek,73.0081,119.8330,Russia,RU,RUS,Sakha (Yakutiya),,10,1643349100,1889
Khatanga,Khatanga,71.9833,102.5000,Russia,RU,RUS,Krasnoyarskiy Kray,,4622,1643018667,2003
